PLCG1	GDNF
SHC1	PSPN
SHC1	GFRA2
SHC1	ARTN
SHC1	GDNF
SHC1	GFRA3
SHC1	NRTN
SHC1	GFRA1
SHC1	GFRA4
SHC1	RET
GFRA2	SRC
GFRA1	SRC
GFRA2	RAP1GAP
GFRA4	RAP1GAP
GFRA1	RAP1GAP
NRTN	RAP1GAP
RET	SRC
GFRA3	RAP1GAP
NRTN	SRC
RET	RAP1GAP
PSPN	RAP1GAP
ARTN	RAP1GAP
GDNF	SRC
GDNF	RAP1GAP
PSPN	SRC
ARTN	SRC
GFRA4	SRC
GFRA3	SRC
SHC1	GRB2
SHC1	SOS1
TEK	ANGPT1
HOMER2	GRM1
HOMER3	GRM1
HOMER3	GRM5
HOMER1	GRM1
HOMER1	GRM5
HOMER2	GRM5
HSP90AB1	PTGES3
HSP90AB1	AIP
PTGES3	AIP
HTR3B	HTR3A
HTR3C	HTR3A
HTR3A	HTR3D
HTR3A	HTR3E
IGHA2	JCHAIN
IGHA1	JCHAIN
IGHA2	IGKC
IGHA2	IGHA1
IGHA1	IGKC
IGKC	JCHAIN
HLA-DQA1	HLA-DRA
HLA-DPA1	HLA-DQA1
HLA-DQA2	CD74
HLA-DPA1	HLA-DRA
HLA-DQA1	CD74
HLA-DQA2	HLA-DRA
HLA-DPA1	CD74
HLA-DRA	CD74
HLA-DPA1	HLA-DQA2
HLA-DQA1	HLA-DQA2
HLA-DQA2	CANX
HLA-DPA1	CANX
HLA-DRA	CANX
HLA-DQA1	CANX
MMAA	MMUT
GLG1	SPN
SELPLG	SPN
SELE	CD44
CD44	GLG1
SELE	SELPLG
SELE	SPN
SELE	GLG1
CD44	SPN
SELPLG	CD44
SELPLG	GLG1
SOD1	CCS
PRLR	GH2
PRLR	JAK2
PRLR	CSH1
PRLR	PRL
JAK2	GH1
JAK2	GH2
PRLR	GH1
JAK2	PRL
JAK2	CSH1
STAT4	TYK2
STAT4	IL12RB2
STAT4	JAK2
STAT4	IL12B
STAT4	IL12RB1
STAT4	IL12A
STAT4	JAK1
TRIM4	RNF135
TRIM25	TRIM4
RIGI	TRIM4
RIGI	RNF135
RIGI	TRIM25
TRIM25	RNF135
KAT5	RAD50
ATM	MRE11
ATM	RAD50
KAT5	MRE11
KAT5	NBN
ATM	KAT5
ATM	NBN
BRCA1	BLM
ATM	DNA2
RAD50	RBBP8
BRCA1	RMI2
NBN	BRCA1
NBN	BLM
KAT5	BARD1
MRE11	BRIP1
RAD50	DNA2
NBN	RMI2
MRE11	BRCA1
NBN	BARD1
BRIP1	DNA2
BRIP1	RMI2
KAT5	DNA2
BRIP1	WRN
ATM	RMI1
ATM	EXO1
RBBP8	RMI2
RBBP8	EXO1
RAD50	RMI1
BARD1	RMI2
ATM	WRN
BARD1	EXO1
NBN	RBBP8
ATM	BRIP1
ATM	BRCA1
KAT5	RBBP8
BRCA1	RMI1
BARD1	TOP3A
MRE11	BARD1
MRE11	WRN
KAT5	WRN
BRCA1	WRN
BRCA1	EXO1
MRE11	RMI1
NBN	RMI1
BRCA1	TOP3A
RAD50	EXO1
ATM	BLM
KAT5	EXO1
BRIP1	BLM
BRIP1	EXO1
RBBP8	TOP3A
KAT5	TOP3A
RAD50	WRN
RAD50	BLM
RAD50	BRIP1
RAD50	BRCA1
BARD1	RMI1
RAD50	BARD1
MRE11	DNA2
MRE11	EXO1
NBN	EXO1
BARD1	DNA2
KAT5	BLM
RBBP8	WRN
MRE11	BLM
BARD1	BLM
MRE11	RMI2
NBN	WRN
BRIP1	RMI1
KAT5	RMI2
BARD1	WRN
RBBP8	RMI1
KAT5	BRCA1
RBBP8	DNA2
RAD50	TOP3A
NBN	BRIP1
ATM	BARD1
NBN	TOP3A
BARD1	BRIP1
BRCA1	BRIP1
BRIP1	TOP3A
MRE11	RBBP8
KAT5	BRIP1
NBN	DNA2
KAT5	RMI1
BRCA1	DNA2
RAD50	RMI2
MRE11	TOP3A
RBBP8	BRIP1
RBBP8	BLM
ATM	RMI2
ATM	RBBP8
ATM	TOP3A
TIMMDC1	NDUFAF5
TIMMDC1	NDUFAF6
NDUFAF3	NDUFAF5
